,driver_name,rating,year
673,nigel moore,S,2019
674,niklas kruetten,S,2022
675,nobuya yamanaka,B,2020
676,norman nato,G,2018
677,norman nato,G,2019
678,norman nato,G,2020
679,norman nato,G,2021
680,norman nato,G,2022
681,nyck de vries,G,2019
682,nyck de vries,G,2020
683,nyck de vries,P,2021
684,oliver bryant,S,2017
685,oliver gavin,P,2017
686,oliver gavin,P,2019
687,oliver gavin,P,2018
688,oliver gavin,P,2021
689,oliver jarvis,P,2017
690,oliver jarvis,P,2019
691,oliver jarvis,P,2020
692,oliver jarvis,P,2022
693,oliver rowland,P,2018
694,oliver rasmussen,S,2022
695,oliver turvey,P,2018
696,oliver webb,G,2019
697,oliver webb,G,2017
698,oliver webb,G,2018
699,oliver webb,G,2020
700,olivier beretta,P,2017
701,olivier beretta,P,2019
702,olivier beretta,P,2018
703,olivier pla,P,2018
704,olivier pla,P,2017
705,olivier pla,P,2019
706,olivier pla,P,2020
707,olivier pla,P,2022
708,olliver millroy,S,2022
709,oswaldo negri jr,B,2020
710,paolo ruberti,G,2019
711,paolo ruberti,G,2020
712,pastor maldonado,P,2018
713,pastor maldonado,P,2019
714,patrice lafargue,B,2017
715,patrick kelly,B,2021
716,patrick lindsey,S,2019
717,patrick lindsey,S,2018
718,patrick long,P,2018
719,patrick long,P,2017
720,patrick long,P,2019
721,patrick pilet,P,2019
722,patrick pilet,P,2018
723,patrick pilet,P,2017
724,patrick pilet,P,2020
725,patrick pilet,P,2022
726,paul dalla lana,B,2017
727,paul dalla lana,B,2019
728,paul dalla lana,B,2018
729,paul di resta,P,2019
730,paul di resta,P,2018
731,paul dalla lana,B,2020
732,paul dalla lana,B,2021
733,paul dalla lana,B,2022
734,paul di resta,P,2020
735,paul lafargue,S,2018
736,paul lafargue,S,2017
737,paul lafargue,S,2019
738,paul lafargue,S,2020
739,paul lafargue,S,2022
740,paul loup chatin,G,2018
741,paul loup chatin,G,2022
742,paul-loup chatin,G,2019
743,paul-loup chatin,G,2020
744,pedro lamy,P,2018
745,pedro lamy,P,2017
746,pedro lamy,P,2019
747,phil hanson,S,2017
748,philip hanson,S,2018
749,philip hanson,S,2019
750,philip hanson,S,2020
751,philip hanson,G,2022
752,philip hanson,G,2021
753,philipp eng,P,2019
754,philipp eng,G,2018
755,philippe cimadomo,B,2022
756,philippe prette,B,2019
757,pierre ehret,B,2022
758,pierre kaffer,P,2017
759,pierre nicolet,S,2018
760,pierre nicolet,S,2017
761,pierre ragues,S,2017
762,pierre ragues,S,2019
763,pierre ragues,S,2020
764,pierre ragues,S,2022
765,pierre thiriet,S,2018
766,pierre thiriet,S,2017
767,pierre thiriet,S,2019
768,pietro fittipaldi,P,2022
769,pipo derani,G,2019
770,raffaele giammaria,S,2022
771,rahel frey,S,2019
772,rahel frey,S,2020
773,rahel frey,G,2022
774,rahel frey,S,2021
775,rene binder,S,2022
776,renger van der zande,G,2019
777,renger van der zande,G,2018
778,renger van der zande,G,2020
779,renger van der zande,G,2022
780,renger van der zande,G,2021
781,rene binder,S,2019
782,rene binder,S,2020
783,rene rast,P,2022
784,reshad de gerus,S,2022
785,ricardo pera,S,2022
786,riccardo pera,S,2020
787,riccardo pera,S,2021
788,richard bradley,G,2017
789,richard bradley,G,2020
790,richard bradley,G,2022
791,richard heistand,B,2020
792,richard heistand,B,2022
793,richard lietz,P,2017
794,richard lietz,P,2018
795,richard lietz,P,2019
796,richard lietz,P,2020
797,richard lietz,P,2022
798,richard lietz,P,2021
